Golbach_Pthread,,Threads,8,,,,,,,,,,,GoldbachSerial VS pthread,,Golbach_Pthread,,Threads,1,,,,,,,,,,,,,Golbach_Pthread,,Threads,4,,,,,,,,,,,,,Golbach_Optimization_sums_1,,Threads,128,,,,,,,,,,,,,Golbach_Optimization_sums_1,,Threads,2,,,,,,,,,,,,,Golbach_Optimization_sums_1,,Threads,16,,,,,,,,,,,,,Golbach_Optimization_sums_1,,Threads,32,,,,,,,,,,,,,
Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,Speed Gain Total,Efficiency score,Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,GoldbachSerial VS Optimization_sums_1,,Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,GoldbachSerial VS Optimization_sums_1,,Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,GoldbachSerial VS Optimization_sums_1,,Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,GoldbachSerial VS Optimization_sums_2,,Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,GoldbachSerial VS Optimization_sums_2,,Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,GoldbachSerial VS Optimization_sums_2,,
0.000671434,0.000657756,0.000542027,0.000775153,0.000695942,0.001826171,0.002817978,0.001117841,0.113975711,0.035933583,0.060318898,0.171837197,0.390498257,0.382065389,4.33450938,0.5418136725,0.000071993,0.000079019,0.000103141,0.000186447,0.000255039,0.005870559,0.002228868,0.000589202,0.519627095,0.035210115,0.18368118,0.519343697,1.267174362,1.257862087,Speed Gain Total,Efficiency score,0.000131093,0.000134479,0.00014765,0.000215332,0.000689552,0.002352399,0.00258029,0.000610962,0.185511306,0.036840216,0.060425786,0.232510208,0.52201818,0.515287516,Speed Gain Total,Efficiency score,0.003812285,0.003697061,0.004007564,0.004001931,0.004064025,0.004446619,0.004057602,0.004746653,0.08505777,0.041151786,0.059908078,0.165603621,0.38074271,0.351721255,Speed Gain Total,Efficiency score,0.00009374,0.000074445,0.000098387,0.000159194,0.000209958,0.004212391,0.00224478,0.00064049,0.29741119,0.036282828,0.100069565,0.312521534,0.753924762,0.746285117,Speed Gain Total,Efficiency score,0.000538183,0.001099654,0.001188658,0.000950939,0.000998821,0.001651549,0.003715012,0.001135726,0.09106271,0.036373835,0.055958061,0.19389036,0.388025325,0.377284966,Speed Gain Total,Efficiency score,0.001131696,0.001102532,0.001589439,0.001442806,0.001425613,0.002525659,0.003158915,0.00164807,0.085885803,0.037106931,0.062048347,0.194117678,0.392051793,0.379158759,Speed Gain Total,Efficiency score,
0.000624192,0.000652273,0.001282135,0.001188946,0.000492996,0.002155214,0.002581916,0.001004389,0.113523202,0.035738935,0.054370528,0.177700188,0.390690722,0.267809651,Speed Gain Medium,Efficiency Score Medium,0.000078659,0.00007472,0.000121792,0.000172717,0.000239665,0.005903576,0.002320782,0.000585621,0.541799467,0.035302009,0.182959398,0.509106867,1.278586614,1.269167741,1.302459376,1.302459376,0.000131881,0.00013039,0.000128113,0.000181642,0.000243477,0.002563622,0.002635735,0.00066709,0.189362723,0.035943287,0.059809722,0.223141403,0.514807204,0.508257135,3.204289237,0.8010723092,0.003545612,0.00372182,0.003579356,0.004369669,0.004634668,0.004846818,0.004860066,0.004271115,0.080228347,0.038709882,0.061635413,0.183177949,0.394035103,0.363751591,4.415132494,0.03449322261,0.00007911,0.000091515,0.000154741,0.000184043,0.000228167,0.00323372,0.002291598,0.000569406,0.284657179,0.036726706,0.100903048,0.323287412,0.752327535,0.745574345,2.210700903,1.105350452,0.000515293,0.000819709,0.001423854,0.00091986,0.001229198,0.002216354,0.00288863,0.001067411,0.095139033,0.037960751,0.057923279,0.199342761,0.40093084,0.390365824,4.240645913,0.2620047506,0.001139082,0.00117076,0.00157055,0.001142875,0.001697532,0.003044287,0.00294094,0.002579061,0.086428969,0.038221784,0.060731467,0.195040246,0.394568471,0.380422466,4.224426142,0.1320133169,
0.001022077,0.000708397,0.000881482,0.000611039,0.000651726,0.002050558,0.002617417,0.001534177,0.107977854,0.035874662,0.054199333,0.178157101,0.385263746,0.268231096,4.374220695,0.5467775869,0.000126783,0.000086998,0.000113663,0.000186538,0.000242701,0.006005653,0.002573803,0.000765986,0.53130138,0.036400575,0.190136285,0.51860126,1.286414842,1.2764395,Speed Gain Medium,Efficiency Score Medium,0.00018775,0.000147511,0.000150674,0.000222795,0.000488354,0.002804736,0.002593768,0.000581631,0.192117935,0.036283742,0.05991501,0.242644252,0.537950408,0.530960939,Speed Gain Medium,Efficiency Score Medium,0.003552061,0.004057147,0.004574285,0.004215437,0.004336985,0.005414062,0.005008104,0.004245475,0.091960854,0.040427229,0.057937477,0.172085472,0.394262527,0.362411032,Speed Gain Medium,Efficiency Score Medium,0.000097926,0.000072966,0.000119747,0.000189533,0.000213637,0.003206094,0.002259891,0.000640708,0.301368628,0.036744148,0.103079943,0.314141091,0.762036386,0.75533381,Speed Gain Medium,Efficiency Score Medium,0.000697776,0.000768945,0.000756115,0.00123596,0.000795338,0.002763521,0.002781238,0.001426253,0.092968999,0.037358984,0.05575165,0.205660575,0.402267578,0.391740208,Speed Gain Medium,Efficiency Score Medium,0.001290543s,0.001915715,0.001099245,0.000959778,0.001261889,0.002438224,0.003161505,0.001481655,0.087921323,0.039043013,0.060638507,0.192384867,0.392305721,0.37998771,Speed Gain Medium,Efficiency Score Medium,
Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,,,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,1.297119346,1.297119346,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,3.206511271,0.8016278178,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,4.722570072,0.03689507869,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,2.204927108,1.102463554,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,4.289245831,0.2680778644,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,4.301365249,0.134417664,
0.000624192,0.000652273,0.000542027,0.000611039,0.000492996,0.001826171,0.002581916,0.001004389,0.107977854,0.035738935,0.054199333,0.171837197,0.37746413,0.369753319,,,0.000071993,0.00007472,0.000103141,0.000172717,0.000239665,0.005870559,0.002228868,0.000585621,0.519627095,0.035210115,0.182959398,0.509106867,1.256178766,1.246903475,,,0.000131093,0.00013039,0.000128113,0.000181642,0.000243477,0.002352399,0.00258029,0.000581631,0.185511306,0.035943287,0.059809722,0.223141403,0.51060366,0.504405718,,,0.003545612,0.003697061,0.003579356,0.004001931,0.004064025,0.004446619,0.004057602,0.004245475,0.080228347,0.038709882,0.057937477,0.165603621,0.370571396,0.342479327,,,0.00007911,0.000072966,0.000098387,0.000159194,0.000209958,0.003206094,0.00224478,0.000569406,0.284657179,0.036282828,0.100069565,0.312521534,0.740091891,0.733531106,,,0.000515293,0.000768945,0.000756115,0.00091986,0.000795338,0.001651549,0.002781238,0.001067411,0.09106271,0.036373835,0.05575165,0.19389036,0.385819011,0.377078555,,,0.001131696,0.001102532,0.001099245,0.000959778,0.001261889,0.002438224,0.00294094,0.001481655,0.085885803,0.037106931,0.060638507,0.192384867,0.387300371,0.376016108,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golbach_Serial,,Threads,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000024395,0.000049321,0.000193755,0.000754974,0.000384035,0.005388156,0.011591196,0.000630819,0.467968943,0.596634343,0.16103816,0.436878994,1.681512696,1.66252044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
